n,radius,central_angle_rad,central_angle_deg,side_chord,circumscribed_side,apothem,spoke_base_angle_deg,diag2,diag2_over_side,apothem_over_radius,vertices_shared_with_smaller_dgon,smallest_proper_divisor_gon,n_is_prime_like,euler_totient,predicted_shared_from_totient
107,53.5,0.05872135801102417,3.364485981308411,3.141141304996604,3.142495701075452,53.476941833144416,88.3177570093458,6.279574985308065,1.9991380124539968,0.9995690062269984,0,107,1,106,0
108,54.0,0.05817764173314432,3.3333333333333335,3.1411496242560317,3.1424790497597193,53.97715530443883,88.33333333333334,6.2796415223313895,1.9991539001644012,0.9995769500822006,71,2,0,36,71
109,54.5,0.05764390190073015,3.3027522935779814,3.141157715609649,3.14246285483468,54.47736485964989,88.34862385321101,6.279706236879678,1.9991693526477023,0.9995846763238512,0,109,1,108,0
110,55.0,0.057119866428905326,3.2727272727272725,3.1411655873065873,3.1424470997709104,54.977570605550405,88.36363636363636,6.279769194904477,1.9991843856563785,0.9995921928281891,69,2,0,40,69
111,55.5,0.05660527303765393,3.2432432432432434,3.1411732472261082,3.142431768780665,55.47777264506686,88.37837837837837,6.279830459400951,1.9991990142366431,0.9995995071183218,38,3,0,72,38
112,56.0,0.05609986881410345,3.2142857142857144,3.1411807028973233,3.142416846778296,55.97797107745096,88.39285714285714,6.27989009056548,1.9992132527661057,0.9996066263830529,63,2,0,48,63
113,56.5,0.05560340979804944,3.185840707964602,3.1411879615177067,3.142402319343113,56.47816599844231,88.4070796460177,6.279948145943561,1.9992271149891079,0.9996135574945542,0,113,1,112,0
114,57.0,0.05511566058929462,3.1578947368421053,3.1411950299704676,3.1423881726845115,56.978357500422234,88.42105263157895,6.28000468056866,1.9992406140499026,0.9996203070249515,77,2,0,36,77
115,57.5,0.054636393975474665,3.130434782608696,3.1412019148408756,3.142374393609223,57.47854567255986,88.43478260869564,6.280059747092652,1.9992537625238211,0.9996268812619106,26,5,0,88,26
116,58.0,0.054165390579134366,3.103448275862069,3.141208622431601,3.1423609694905283,57.97873060095047,88.44827586206897,6.280113395908433,1.9992665724465681,0.999633286223284,59,2,0,56,59
117,58.5,0.05370243852290245,3.076923076923077,3.1412151587771473,3.142347888239309,58.4789123687468,88.46153846153847,6.280165675265226,1.999279055341771,0.9996395276708855,44,3,0,72,44
118,59.0,0.05324733311169141,3.0508474576271185,3.141221529657422,3.142335138276812,58.97909105628371,88.47457627118644,6.280216631377081,1.9992912222469053,0.9996456111234526,59,2,0,58,59
119,59.5,0.05279987653092089,3.0252100840336134,3.1412277406105242,3.1423227085090053,59.479266741196504,88.48739495798318,6.280266308525022,1.9993030837376977,0.9996515418688489,22,7,0,96,22
